id,url,createdTime,Temps total,Drive,CTA,Pilier,Catégorie,Semaine,ID idée mère,Statut,Instagram,LinkedIn,Project 3,Newsletter,Canva,Conversion / Funnel,Texte final,Phase éditoriale,Format Instagram,Column 2,Format LinkedIn,Plateforme,Lead Magnet,Hook,Ordre,Format,Project 1,Résultat,Project 2,Sujet
3987299b-2234-8001-8c5c-cb530a59d8fb,https://app.notion.com/3987299b223480018c5ccb530a59d8fb,2026-07-09 21:19:57Z,,,,,,,1,,,,,,,,,Archive historique,,,,,,,,,,,"17, Comète histoire de vente - vendre / acheter / rénover",Instagram
3987299b-2234-8053-81ba-d832ee64607d,https://app.notion.com/3987299b2234805381bad832ee64607d,2026-07-09 21:19:57Z,,,,,,,2,,,,Journal de bord,,,,,Archive historique,,,,,,,,,Post #1 — Jour 1 : J’ai décidé d’automatiser mon activité immobilière avec l’IA,,Трудности внедрения агента,Linkedin
3987299b-2234-80d4-a437-e51733031f46,https://app.notion.com/3987299b223480d4a437e51733031f46,2026-07-09 21:19:57Z,,,,,,,3,,,,Insta Perso,,,,,Archive historique,,LinkedIn Katerina,,,,,,,NEVA AI,,Conciergerie Immo CP,
3987299b-2234-8029-b999-fc355d1c2842,https://app.notion.com/3987299b22348029b999fc355d1c2842,2026-07-09 21:37:06Z,,,,,,,4,,,,"immobilier, chantiers, appartements, coulisses terrain",,,,,Archive historique,,portfolio - unité de contenu pour clients,,,,,,,journal IA + formation + expertise,,"preuves, biens, services, avant/après",
3987299b-2234-804b-a27c-e7101e2b8f17,https://app.notion.com/3987299b2234804ba27ce7101e2b8f17,2026-07-09 21:48:56Z,,,,,,,5,,,,,,,,,Archive historique,,,,,,,,,,,,Exemple Avatar Radomir
3987299b-2234-8026-b07d-e4fb54471c61,https://app.notion.com/3987299b22348026b07de4fb54471c61,2026-07-09 21:49:13Z,,,,,,,6,,,,,,,,,Archive historique,,,,,,,,,,,Faire travailler 2-3 agents à la fois,
3987299b-2234-80c9-9423-c3fe54d46444,https://app.notion.com/3987299b223480c99423c3fe54d46444,2026-07-09 21:49:16Z,,,,,,,7,,,,,,,,,Archive historique,,,,,,,,,,,Rénover ? Louer ? Vendre ?,
3987299b-2234-80b9-90cc-d12f3424a574,https://app.notion.com/3987299b223480b990ccd12f3424a574,2026-07-09 21:49:28Z,,,,,,,8,,,,,,,,,Archive historique,,,,,,,,,,,Cycle immo,
39e7299b-2234-813a-bba9-fddda486c902,https://app.notion.com/39e7299b2234813abba9fddda486c902,2026-07-15 07:25:23Z,,,« Quelle pièce je détaille ? » + « VISITE »,,,S2,9,,,,,,,Contenu → DM VISITE → Loom → J+3 → mini-audit → PROD'AI,,Archive historique,,,,LinkedIn,Loom « Visite complète de mon système IA immo » (mot-clé VISITE),Voici une visite guidée. Pas d'un appartement à 2 M€ — de mon système d'IA.,,Carrousel,,,,S2·Lun — Visite de mon système IA (house tour détourné)
39e7299b-2234-813c-97fd-e248dd32f599,https://app.notion.com/39e7299b2234813c97fde248dd32f599,2026-07-15 07:25:23Z,,,Vote A/B + « ERREURS »,,,S2,10,,,,,,,Contenu → DM ERREURS → guide → atelier 2h → formation,,Archive historique,,,,LinkedIn,Mini-guide « 3 erreurs IA immo » (mot-clé ERREURS),Tout le monde vend des formations ChatGPT immo. Personne ne vous dit l'erreur qui fait tout rater.,,,,,,S2·Ven — L'erreur n°1 quand on lance l'IA dans l'immo
39e7299b-2234-814d-9a73-e6e0a8bfb802,https://app.notion.com/39e7299b2234814d9a73e6e0a8bfb802,2026-07-15 07:25:23Z,,,« Ta tâche en 1 mot (DM/comm.) »,,,S2,11,,,,,,,Carrousel + story → DM → checklist → newsletter,,Archive historique,,,,Instagram,Story : checklist « 15 tâches » (si intérêt),La semaine où j'ai failli tout arrêter.,,Carrousel,,,,S2 IG — Carrousel « J'ai failli tout arrêter »
39e7299b-2234-8152-8063-d7cd1d6dc23c,https://app.notion.com/39e7299b223481528063d7cd1d6dc23c,2026-07-15 07:25:23Z,,,« Une tâche qui vous vole vos soirées ? En 1 mot »,,,S1,12,,,,,,,Post → 1 mot → réponse perso → checklist → newsletter,,Archive historique,,,,LinkedIn,Checklist « 15 tâches à déléguer à l'IA » (si >20 comm.),Maman solo de 3 enfants + une agence immobilière à diriger.,,,,,,S1·Ven — Maman solo : ma 4e assistante IA
39e7299b-2234-8172-8047-d540746b9c00,https://app.notion.com/39e7299b223481728047d540746b9c00,2026-07-15 07:25:23Z,,,« Commente / lien en story »,,,S2,13,,,,,,,Reel + story lien → DM → Loom → audit → PROD'AI,,Archive historique,,,,Instagram,Story + post : Loom VISITE (lien bio / DM),Visite guidée. Pas d'un appart — de mon système d'IA.,,,,,,S2 IG — Reel « Visite de mon système IA »
39e7299b-2234-8194-a1d2-ffaf3dcf8bcf,https://app.notion.com/39e7299b22348194a1d2ffaf3dcf8bcf,2026-07-15 07:25:23Z,,,Vote A/B/C + « LEADS » en commentaire/DM,,,S1,14,,,,,,,Post → DM LEADS → mini-guide → J+3 → mini-audit 15 min → PROD'AI,,Archive historique,,,,LinkedIn,Mini-guide « Le tri de leads immo automatisé » (mot-clé LEADS),Jour 1. J'ai décidé d'automatiser mon agence immobilière avec l'IA — et de tout documenter.,,,,,,S1·Lun — Jour 1 : automatiser le tri des leads
39e7299b-2234-81c3-b661-ca0d78facb86,https://app.notion.com/39e7299b223481c3b661ca0d78facb86,2026-07-15 07:25:23Z,,,« Commente ERREURS / lien story »,,,S2,15,,,,,,,Reel + story lien → guide → atelier → formation,,Archive historique,,,,Instagram,Story + post : guide « 3 erreurs » (lien bio),L'erreur que personne ne montre quand on lance l'IA dans l'immo.,,,,,,S2 IG — Reel « L'erreur n°1 IA immo »
39e7299b-2234-81ce-a5c9-d10d14dbbf84,https://app.notion.com/39e7299b223481cea5c9d10d14dbbf84,2026-07-15 07:25:23Z,,,« LA tâche que vous ne confierez jamais à l'IA ? »,,,S1,16,,,,,,,Autorité → commentaires → DM → guide LEADS,,Archive historique,,,,LinkedIn,(post d'autorité) — renvoi vers guide LEADS,15 ans chez Barnes m'ont appris une chose que l'IA ne remplacera jamais.,,,,,,S1·Mer — Terrain > Tech (Barnes)
